HZ,TYPE,variable,value
1,counts,cv,0.17854140630212
2,counts,cv,0.243142542996915
3,counts,cv,0.247234860703558
4,counts,cv,0.361561914778555
5,counts,cv,0.353201550914564
1,enmo,cv,0.234987888762431
2,enmo,cv,0.258916852542281
3,enmo,cv,0.301208147614455
4,enmo,cv,0.473538758853007
5,enmo,cv,0.603546333188422
1,mims,cv,0.0157269843721054
2,mims,cv,0.0115491804683821
3,mims,cv,0.0739228513193568
4,mims,cv,0.137293799415411
5,mims,cv,0.253049221356692
1,mims_narrowband,cv,0.0144753644454488
2,mims_narrowband,cv,0.012550033248232
3,mims_narrowband,cv,0.0782938049593071
4,mims_narrowband,cv,0.232955712583915
5,mims_narrowband,cv,0.384536291593339
1,mims_narrowband_noextrap,cv,0.0144753768618427
2,mims_narrowband_noextrap,cv,0.0125500303081922
3,mims_narrowband_noextrap,cv,0.101593930859111
4,mims_narrowband_noextrap,cv,0.191716299205017
5,mims_narrowband_noextrap,cv,0.366172104758863
1,mims_noextrap,cv,0.0157269819481127
2,mims_noextrap,cv,0.0115491805724085
3,mims_noextrap,cv,0.104430877496936
4,mims_noextrap,cv,0.312207506882837
5,mims_noextrap,cv,0.430626648072481
