device,average_extrapolation_rate,sd_extrapolation_rate,min_extrapolation_rate,max_extrapolation_rate
20Hz,0.321415634253545,0.23601927653844,0.0661623643352009,0.986837027292637
30Hz,0.444912543649936,0.270501243747352,0.111401779860402,0.97184054259763
40Hz,0.543824529603704,0.270094949402307,0.114965758088422,0.987664665949315
50Hz,0.629985716381379,0.272765895008116,0.0986034682830744,0.979217051714036
60Hz,0.649040535067008,0.280701268421002,0.0813951392739461,0.989001911121146
70Hz,0.68410064473217,0.258897523699677,0.0695257290706699,0.990860570597264
80Hz,0.736159636307307,0.219319283191275,0.183316172532367,0.996348082917478
90Hz,0.770131153977827,0.184608310563049,0.31663421332312,0.98895134172517
100Hz,0.776733907407871,0.170429040119924,0.401456877629992,0.997898526187527
average,0.617367144597861,0.281862961870909,0.0661623643352009,0.997898526187527
