MPH,COLUMNS,LOCATION,Mean_dominant_freq,Sd_dominant_freq
1.9,X,Nondominant wrist,0.814,0.826
1.9,X,Waist,4.34,1.89
1.9,Y,Nondominant wrist,0.863,1.5
1.9,Y,Waist,0.814,0.826
1.9,Z,Nondominant wrist,0.746,0.0122
1.9,Z,Waist,0.944,0.407
3.1,X,Nondominant wrist,1.9,0.115
3.1,X,Waist,3.57,1.96
3.1,Y,Nondominant wrist,1.65,0.438
3.1,Y,Waist,1.9,0.115
3.1,Z,Nondominant wrist,0.95,0.071
3.1,Z,Waist,1.9,0.115
4.3,X,Nondominant wrist,2.26,1.7
4.3,X,Waist,3.13,1.83
4.3,Y,Nondominant wrist,1.43,0.627
4.3,Y,Waist,2.25,0.123
4.3,Z,Nondominant wrist,1.14,0.0567
4.3,Z,Waist,2.25,0.123
5,X,Nondominant wrist,2.09,0.933
5,X,Waist,6.38,2.58
5,Y,Nondominant wrist,2.73,0.196
5,Y,Waist,2.73,0.196
5,Z,Nondominant wrist,2.37,0.629
5,Z,Waist,2.73,0.196
6.2,X,Nondominant wrist,2.55,0.827
6.2,X,Waist,6.06,2.06
6.2,Y,Nondominant wrist,2.88,0.221
6.2,Y,Waist,2.88,0.221
6.2,Z,Nondominant wrist,2.88,0.221
6.2,Z,Waist,2.88,0.221
7.5,X,Nondominant wrist,2.25,0.94
7.5,X,Waist,7.37,0.541
7.5,Y,Nondominant wrist,2.95,0.219
7.5,Y,Waist,2.95,0.219
7.5,Z,Nondominant wrist,2.54,0.635
7.5,Z,Waist,2.95,0.219
8.6,X,Nondominant wrist,1.91,0.741
8.6,X,Waist,7.65,0.548
8.6,Y,Nondominant wrist,3.07,0.207
8.6,Y,Waist,3.05,0.224
8.6,Z,Nondominant wrist,2.65,0.638
8.6,Z,Waist,2.67,0.809
10,X,Nondominant wrist,1.48,NaN
10,X,Waist,7.4,NaN
10,Y,Nondominant wrist,2.96,NaN
10,Y,Waist,2.96,NaN
10,Z,Nondominant wrist,2.96,NaN
10,Z,Waist,2.96,NaN
11.2,X,Nondominant wrist,1.53,NaN
11.2,X,Waist,7.65,NaN
11.2,Y,Nondominant wrist,3.06,NaN
11.2,Y,Waist,3.06,NaN
11.2,Z,Nondominant wrist,3.06,NaN
11.2,Z,Waist,3.06,NaN
12.4,X,Nondominant wrist,1.58,NaN
12.4,X,Waist,7.95,NaN
12.4,Y,Nondominant wrist,3.16,NaN
12.4,Y,Waist,3.16,NaN
12.4,Z,Nondominant wrist,3.16,NaN
12.4,Z,Waist,3.16,NaN
